puzzle_id,fen,key_moves,mate_in,rating,solution
yjhMU,7k/pp3rp1/2p5/4n3/4B3/7P/PP4PK/3R4 w - - 2 28,d1d8,2,532,d1d8 f7f8 d8f8
u0R0P,6r1/p5pp/1k6/1p3r2/PKb5/2N2P2/1P4PP/4R2R b - - 0 27,a7a5,2,1273,a7a5 b4a3 b5b4
y47mZ,6k1/p2r1ppp/1pp1R1q1/3p4/8/5PNP/P5PK/8 w - - 0 28,e6e8,1,480,e6e8
hkDr8,6R1/8/8/5p2/5K1k/r7/8/8 w - - 0 70,g8h8,1,964,g8h8
Mfhqb,8/8/p7/k1Kp4/2p5/2r5/6p1/6R1 w - - 0 59,g1a1,2,1244,g1a1 c3a3 a1a3
oJJQH,7k/p3R3/1p5p/2p1N1p1/5nP1/2P2R2/PP3PPK/3r1r2 b - - 12 37,f1h1,2,1171,f1h1 h2g3 f4e2
0AhGJ,1r4k1/1p1R2np/p5p1/4p1P1/4P3/4r3/PPP5/1K3B1R b - - 0 22,e3e1,2,440,e3e1 d7d1 e1d1
E7cJ3,5rk1/1Q4p1/p3p2p/4B3/8/4n3/2P3PP/5R1K b - - 0 30,f8f1,1,840,f8f1
oqrfu,r5k1/6pp/n3R3/1pPP4/pP6/Pq6/5P1P/4Q2K w - - 2 31,e6e8,2,582,e6e8 a8e8 e1e8
kwOIN,8/2Q5/1p4pk/7p/4P3/2P5/PP1q2PP/6K1 b - - 0 30,d2e1,1,1199,d2e1
HrVjp,7k/1bp3p1/1p1p3p/p7/7P/2KB4/2P2r2/4R3 w - - 0 30,e1e8,2,924,e1e8 f2f8 e8f8
Ie15S,2r3k1/1Q3p1p/3p2p1/4p3/P1q1P3/2P5/6PP/5R1K b - - 6 29,c4f1,1,476,c4f1
EHvPL,6k1/1b4pp/2q2p2/1p6/5P2/1PB5/1P4RP/Q6K b - - 0 30,c6g2,1,400,c6g2
M5ofZ,6k1/p4pp1/1p2p2p/4P3/PP1rQ3/7P/5qP1/2R4K w - - 1 28,c1c8,2,1024,c1c8 d4d8 c8d8
QCgx5,8/5p2/3k4/p2PpKP1/4P2r/2R5/P6P/8 b - - 0 42,h4f4,1,915,h4f4
1eLIj,r4r2/p4p2/1p2N1k1/4P3/3P4/1n2Q1K1/6P1/1q6 w - - 0 36,e3g5,2,1464,e3g5 g6h7 g5g7
lXJeH,2k2b1r/1pp2ppp/p3pn2/1N6/2P5/4BP2/PPP1KP1P/3R4 w - - 0 15,b5a7,2,1059,b5a7 c8b8 d1d8
deMbS,8/1Rp5/1P6/5kpp/1P3p2/P4K1P/3r2P1/8 b - - 0 40,g5g4,2,1524,g5g4 h3g4 h5g4
7x2Gg,8/8/5K1k/8/6r1/3R4/8/8 w - - 22 80,d3h3,2,659,d3h3 g4h4 h3h4
OqYOr,2k1r3/bppn4/p1p5/8/7p/3P3P/PPP2PP1/3NR1K1 w - - 0 25,e1e8,1,436,e1e8
YE1sO,6k1/5ppp/p2R4/N4P2/1p4PP/2n2K2/4r3/8 w - - 0 40,d6d8,2,447,d6d8 e2e8 d8e8
fGKuJ,4R3/ppp2Qpk/7p/3K4/3P4/2P2PbP/PP2q3/8 b - - 5 30,c7c6,2,1734,c7c6 d5c5 e2b5
W21Nu,2k5/ppp2ppp/5q2/8/2NP2n1/2P4B/PP5P/4R1KR b - - 2 24,f6f2,1,817,f6f2
pkegb,5r1k/1pp3pp/p7/P5q1/4Q3/5R2/1PPr2PP/4R2K b - - 0 24,g5g2,1,1371,g5g2
3xGdt,8/8/8/7p/2p2Kpk/8/2r5/4R3 w - - 0 60,e1h1,2,701,e1h1 c2h2 h1h2
mEGaq,7k/5rpp/8/4P3/2R1p3/4P1P1/PP2qP1P/5RK1 w - - 0 31,c4c8,2,471,c4c8 f7f8 c8f8
jNGaz,1R4rk/2pq1p1p/pR1p1p1B/5P2/8/8/P6P/7K w - - 2 26,b8g8,3,1046,b8g8 h8g8 b6b8 d7e8 b8e8
MiRDH,8/4N3/3p4/1rpPp3/8/K1k5/8/4R3 b - - 21 71,b5a5,1,1314,b5a5
3RBw5,8/6kp/p1R3p1/1pPN4/1P6/3nPN2/P1r3PP/6K1 b - - 0 31,c2c1,2,536,c2c1 f3e1 c1e1
UkCH6,6k1/5ppp/2p1bq2/8/8/5PQ1/6PP/4K3 w - - 0 31,g3b8,3,797,g3b8 e6c8 b8c8 f6d8 c8d8
ouuVn,Q7/1Q5p/6pk/8/4pP1P/6P1/r2q2BK/8 b - - 0 46,d2g2,1,845,d2g2
iTcCL,5k2/5p2/4bNpp/1p2P3/5P2/3R2K1/1r4PP/8 w - - 0 36,d3d8,2,1154,d3d8 f8e7 d8e8
6ZAqT,5r1k/7r/p1p1pN1R/q1PpP1P1/3P3P/8/P7/5RK1 w - - 0 38,h6h7,1,732,h6h7
A4ZtX,kr5r/1p4R1/7n/p7/R6p/1P2P2b/P1P2P2/1K6 w - - 0 29,a4a5,1,1244,a4a5
