puzzle_id,fen,key_moves,mate_in,rating,solution
LriEX,3q1r2/1p1P4/p3Q3/n5pk/8/2P2PP1/PP4P1/2Kn4 w - - 15 38,g3g4,3,2094,g3g4 h5h4 e6e1 d1f2 e1f2
Rrv8r,2r1r1k1/pp3p1p/3Q2pB/5b2/2qP4/5R2/PP3PPP/R5K1 b - - 1 23,c4c1,3,1001,c4c1 a1c1 c8c1 h6c1 e8e1
5UCaR,8/1R5p/5ppk/8/p4KPP/1P6/1r6/8 w - - 0 36,g4g5,3,916,g4g5 f6g5 h4g5 h6h5 b7h7
1FqGP,r5k1/6pp/p7/1p6/3pnQ2/3P4/PPq3PP/5RK1 w - - 0 29,f4f7,3,1060,f4f7 g8h8 f7f8 a8f8 f1f8
g9HIA,r3r1k1/R3Rp1p/3p2p1/8/1qP5/1P3PN1/1Q4PP/7K b - - 0 32,b4e1,3,1070,b4e1 e7e1 e8e1 g3f1 e1f1
iq6Rq,7k/1p5p/3p4/3P3R/7Q/P5r1/KPq2r2/1R6 b - - 11 36,c2b3,3,1971,c2b3 a2a1 b3a3 b2a3 g3a3
GxjtU,3r2k1/7p/pp2N1p1/4P3/8/PPQ5/2P2RPP/7K b - - 0 34,d8d1,3,656,d8d1 c3e1 d1e1 f2f1 e1f1
PwNBG,2r2k2/p1q1r3/1p4Q1/3Rp1P1/4P3/5P2/PP6/1K5R b - - 0 28,c7c2,3,1196,c7c2 b1a1 c2c1 h1c1 c8c1
eR0kf,3r1r2/ppp3pk/5p2/8/5P1P/Pq2P2K/4QP2/6RR w - - 0 28,e2h5,3,1147,e2h5 h7g8 g1g7 g8g7 h1g1
wKTcG,4r1k1/6b1/7R/p5N1/5P1Q/8/1q6/5K2 w - - 1 45,h6h8,3,1219,h6h8 g7h8 h4h7 g8f8 h7f7
I0Vq1,3rkb1r/7p/1p4p1/2p1Pp2/5P2/pPpq2N1/P1Q4P/K1R3NR b k - 3 22,d3c2,3,651,d3c2 c1c2 d8d1 c2c1 d1c1
TBzRr,6k1/1pp1Q1pp/p4p2/4p3/P1PnP3/1Pq2R2/6PP/6K1 b - - 0 29,c3e1,3,1628,c3e1 f3f1 d4e2 g1h1 e1f1
wEHMg,6k1/p1p2p1p/6p1/2q2r2/7Q/P5R1/5PPP/3R2K1 b - - 0 28,c5f2,3,1067,c5f2 g1h1 f2f1 d1f1 f5f1
WhPNj,1k4rr/pp6/8/4p1q1/3pPN2/P2P1R1p/2P2Q2/6RK b - - 1 30,g5g2,3,1876,g5g2 g1g2 h3g2 h1g1 h8h1
OHruZ,r3r2k/ppp2Rpp/2np4/8/2B1Q2q/2P3b1/PP1B2PP/5R1K w - - 0 22,e4e8,3,1591,e4e8 a8e8 f7f8 e8f8 f1f8
Khf7h,2r3k1/p4ppp/2q1p1n1/8/8/1P4Q1/PB1R1PPP/6K1 b - - 2 35,c6c1,3,632,c6c1 b2c1 c8c1 d2d1 c1d1
ZBy4H,r7/8/8/8/1P1RR2P/2k3p1/6P1/6K1 b - - 0 46,a8a1,3,708,a8a1 d4d1 a1d1 e4e1 d1e1
BV8hd,2kr4/p4Q2/2p1p2r/3p2p1/3q4/6P1/P1P3PP/3R1R1K b - - 4 21,h6h2,3,1432,h6h2 h1h2 d8h8 f7h5 h8h5
7l1S0,2r3k1/1b3p2/pq2pPp1/1p1pP1QR/3r4/P7/1P4PP/3R2K1 w - - 1 29,h5h8,3,1320,h5h8 g8h8 g5h6 h8g8 h6g7
